a_volt,b_volt,c_volt,a_current,b_current,c_current
-17.6867,243.59,-241.849,-1877,-415,-108
-13.5016,243.59,-241.849,-1892,-443,-82
-9.33136,243.59,-241.849,-1906,-472,-57
-5.10932,243.59,-241.849,-1918,-498,-33
-0.916869,243.59,-241.849,-1930,-524,-8
3.26819,243.59,-241.849,-1945,-551,16
7.49022,243.59,-241.849,-1960,-575,39
11.6975,243.59,-241.849,-1971,-602,69
15.8899,243.59,-241.849,-1984,-632,108
20.0898,243.59,-241.849,-1996,-659,153
24.2748,243.59,-241.849,-2006,-685,193
28.4599,243.59,-241.849,-2018,-709,220
32.645,243.59,-241.849,-2030,-733,236
36.8152,243.59,-241.849,-2042,-759,253
41.0003,243.59,-241.849,-2054,-783,276
45.1632,243.59,-241.849,-2064,-811,306
49.3187,243.59,-241.849,-2074,-838,337
53.4815,243.59,-241.849,-2083,-863,366
57.6148,243.59,-241.849,-2091,-887,393
61.7407,243.582,-241.849,-2103,-911,418
65.874,243.59,-241.849,-2110,-939,445
69.9926,243.59,-241.849,-2118,-962,472
74.0963,243.59,-241.849,-2128,-989,499
78.2,243.59,-241.849,-2133,-1017,526
82.2668,243.538,-241.849,-2141,-1039,554
86.3409,243.59,-241.849,-2149,-1063,580
90.4003,242.304,-241.849,-2155,-1085,607
94.4449,239.152,-241.849,-2163,-1109,632
98.482,236.133,-241.849,-2170,-1133,657
102.49,233.033,-241.849,-2176,-1157,683
106.482,229.896,-241.849,-2182,-1183,710
110.475,226.759,-241.849,-2186,-1202,736
114.431,223.533,-241.849,-2190,-1226,761
118.38,220.329,-241.849,-2195,-1251,788
122.335,217.043,-241.849,-2199,-1272,814
126.239,213.772,-241.849,-2205,-1295,839
130.121,210.442,-241.849,-2208,-1317,864
134.003,207.074,-241.849,-2210,-1340,890
137.863,203.684,-241.849,-2212,-1363,916
141.678,200.272,-241.849,-2214,-1386,942
145.501,196.83,-241.849,-2218,-1406,966
149.294,193.343,-241.849,-2220,-1425,990
153.065,189.842,-241.849,-2222,-1448,1014
156.821,186.296,-241.849,-2224,-1468,1037
160.526,182.735,-241.849,-2225,-1488,1062
164.223,179.137,-241.849,-2223,-1509,1087
167.898,175.509,-241.849,-2224,-1531,1110
171.536,171.859,-241.849,-2226,-1552,1135
