-927	-7255	8196	2037	-1811	-235	
-1037	-7191	8240	2048	-1794	-266	
-1145	-7125	8283	2057	-1777	-295	
-1253	-7057	8325	2069	-1760	-321	
-1363	-6989	8365	2079	-1742	-349	
-1471	-6919	8406	2087	-1725	-376	
-1580	-6849	8444	2098	-1706	-402	
-1687	-6778	8480	2107	-1690	-429	
-1794	-6706	8515	2114	-1673	-457	
-1901	-6633	8551	2122	-1654	-483	
-2008	-6558	8584	2131	-1635	-510	
-2113	-6482	8615	2138	-1616	-537	
-2220	-6406	8646	2146	-1597	-563	
-2326	-6329	8675	2154	-1578	-590	
-2431	-6251	8703	2159	-1558	-617	
-2539	-6172	8729	2165	-1537	-642	
-2643	-6091	8754	2173	-1516	-667	
-2747	-6010	8779	2178	-1496	-695	
-2853	-5928	8801	2184	-1477	-722	
-2957	-5846	8822	2190	-1455	-746	
-3060	-5762	8842	2194	-1434	-772	
-3163	-5678	8861	2197	-1414	-799	
-3266	-5592	8878	2201	-1393	-825	
-3368	-5506	8894	2205	-1370	-849	
-3469	-5419	8909	2208	-1349	-875	
-3571	-5332	8922	2212	-1326	-901	
-3671	-5243	8933	2215	-1303	-926	
-3770	-5153	8945	2216	-1282	-951	
-3870	-5063	8954	2219	-1260	-974	
-3968	-4972	8961	2222	-1235	-999	
-4067	-4880	8968	2223	-1212	-1024	
-4165	-4787	8975	2224	-1189	-1048	
-4261	-4694	8978	2225	-1166	-1072	
-4359	-4600	8980	2225	-1143	-1096	
-4454	-4506	8981	2224	-1120	-1120	
-4550	-4411	8980	2223	-1096	-1143	
-4644	-4315	8979	2224	-1071	-1167	
-4738	-4218	8977	2224	-1046	-1190	
-4831	-4120	8973	2222	-1022	-1213	
-4921	-4022	8966	2220	-997	-1236	
-5013	-3923	8959	2218	-973	-1259	
-5104	-3823	8950	2216	-948	-1281	
-5195	-3724	8941	2214	-922	-1303	
-5284	-3624	8929	2210	-897	-1327	
-5372	-3523	8917	2207	-873	-1349	
-5459	-3421	8904	2205	-847	-1369	
-5545	-3319	8889	2200	-822	-1391	
-5633	-3217	8873	2195	-797	-1414	
-5718	-3115	8855	2190	-770	-1434	
-5802	-3010	8836	2186	-745	-1454	
-5885	-2906	8816	2181	-720	-1476	
-5967	-2803	8793	2175	-694	-1496	
-6049	-2698	8770	2169	-666	-1516	
-6130	-2592	8746	2163	-640	-1536	
-6209	-2488	8721	2158	-613	-1555	
-6288	-2380	8694	2151	-587	-1575	
-6365	-2274	8665	2143	-561	-1595	
-6442	-2168	8635	2136	-534	-1614	
-6519	-2061	8605	2127	-508	-1634	
-6592	-1955	8573	2118	-481	-1651	
-6667	-1847	8539	2109	-455	-1670	
-6740	-1738	8504	2100	-429	-1688	
-6811	-1631	8469	2094	-400	-1705	
-6882	-1523	8431	2084	-373	-1723	
-6952	-1415	8392	2073	-346	-1740	
-7021	-1306	8352	2063	-319	-1758	
-7088	-1197	8311	2052	-294	-1775	
-7157	-1087	8268	2043	-265	-1790	
-7222	-979	8226	2032	-238	-1807	
-7286	-869	8181	2021	-212	-1823	
-7351	-759	8135	2010	-184	-1838	
-7412	-650	8088	1996	-159	-1854	
-7473	-541	8039	1984	-133	-1869	
-7533	-430	7989	1972	-107	-1883	
-7593	-321	7938	1960	-80	-1899	
-7650	-211	7885	1947	-53	-1912	
-7706	-101	7833	1932	-30	-1927	
-7761	9	7778	1919	-4	-1941	
-7816	119	7722	1905	22	-1953	
-7871	229	7667	1890	48	-1968	
-7922	340	7608	1878	78	-1980	
-7972	450	7549	1862	112	-1992	
-8022	560	7488	1847	149	-2004	
-8071	669	7427	1832	183	-2016	
-8117	779	7364	1815	210	-2028	
-8163	889	7301	1799	233	-2039	
-8209	998	7237	1784	256	-2050	
-8252	1108	7171	1767	281	-2061	
-8295	1217	7103	1750	308	-2072	
-8335	1324	7035	1733	337	-2082	
-8375	1434	6967	1716	367	-2091	
-8414	1542	6896	1698	393	-2100	
-8450	1650	6825	1680	420	-2109	
-8487	1759	6754	1663	447	-2117	
-8520	1866	6681	1645	473	-2127	
-8554	1974	6606	1626	501	-2135	
-8588	2081	6531	1606	527	-2142	
-8617	2187	6455	1589	555	-2151	
-8646	2294	6377	1569	581	-2157	
-8674	2402	6300	1549	605	-2165	
-8700	2507	6221	1530	633	-2172	
-8727	2612	6141	1509	661	-2177	
-8751	2717	6059	1489	686	-2182	
-8775	2821	5978	1469	713	-2188	
-8796	2926	5896	1448	738	-2195	
-8817	3029	5812	1427	764	-2199	
-8835	3133	5727	1407	791	-2202	
-8852	3237	5642	1386	817	-2207	
-8870	3340	5557	1365	842	-2211	
-8885	3440	5469	1343	867	-2215	
-8899	3541	5380	1321	892	-2218	
-8911	3642	5293	1297	917	-2221	
-8922	3742	5204	1276	942	-2223	
-8932	3842	5113	1254	967	-2225	
-8941	3942	5022	1231	992	-2227	
-8948	4040	4929	1209	1016	-2228	
-8952	4138	4838	1186	1041	-2229	
-8956	4235	4746	1162	1065	-2231	
-8960	4332	4650	1139	1088	-2231	
-8963	4428	4555	1116	1113	-2232	
-8961	4524	4461	1093	1137	-2233	
-8960	4618	4366	1068	1161	-2231	
-8958	4713	4269	1044	1184	-2230	
-8954	4807	4171	1019	1206	-2229	
-8949	4897	4074	995	1229	-2228	
-8943	4990	3975	971	1252	-2226	
-8935	5082	3876	947	1275	-2224	
-8927	5172	3776	921	1297	-2223	
-8915	5261	3676	896	1320	-2220	
-8903	5349	3575	872	1343	-2216	
-8890	5437	3474	847	1364	-2213	
-8874	5525	3372	822	1386	-2209	
-8859	5612	3268	796	1408	-2204	
-8842	5697	3166	771	1429	-2200	
-8823	5782	3062	744	1449	-2197	
-8804	5865	2959	718	1470	-2191	
-8782	5948	2855	694	1491	-2184	
-8759	6030	2750	666	1511	-2178	
-8735	6111	2645	641	1531	-2173	
-8710	6191	2540	616	1551	-2167	
-8684	6270	2435	588	1571	-2159	
-8655	6349	2328	563	1590	-2152	
-8626	6425	2221	536	1608	-2144	
-8597	6502	2115	510	1627	-2137	
-8565	6578	2006	483	1646	-2129	
-8530	6651	1898	458	1666	-2121	
-8498	6726	1791	431	1684	-2112	
-8462	6798	1683	402	1701	-2104	
-8425	6870	1573	377	1719	-2094	
-8388	6939	1466	352	1737	-2082	
-8347	7008	1356	325	1754	-2074	
-8308	7076	1246	298	1770	-2063	
-8265	7143	1138	271	1788	-2053	
-8222	7210	1029	244	1804	-2041	
-8179	7275	920	218	1820	-2030	
-8131	7340	810	192	1837	-2019	
-8085	7401	700	166	1851	-2007	
-8037	7464	591	140	1866	-1995	
-7988	7524	480	114	1882	-1981	
-7938	7583	370	89	1896	-1970	
-7886	7642	261	62	1909	-1957	
-7834	7699	150	37	1924	-1943	
-7781	7755	41	9	1940	-1930	
-7726	7809	-70	-21	1950	-1916	
-7669	7863	-181	-54	1962	-1903	
-7613	7916	-291	-91	1977	-1889	
-7554	7967	-401	-123	1990	-1873	
-7494	8018	-509	-150	2003	-1859	
-7432	8066	-620	-171	2014	-1843	
-7369	8114	-730	-195	2026	-1826	
-7306	8159	-840	-222	2037	-1811	
-7243	8205	-950	-249	2049	-1795	
-7178	8249	-1059	-279	2060	-1779	
-7111	8292	-1169	-306	2070	-1763	
-7045	8333	-1277	-331	2080	-1745	
-6975	8373	-1385	-358	2091	-1727	
-6905	8412	-1495	-386	2100	-1710	
-6835	8449	-1603	-414	2108	-1692	
-6763	8486	-1711	-440	2118	-1674	
-6690	8522	-1818	-467	2125	-1656	
-6618	8555	-1927	-493	2134	-1638	
-6544	8588	-2035	-519	2143	-1618	
-6468	8619	-2141	-546	2149	-1600	
-6392	8650	-2248	-573	2156	-1581	
-6314	8679	-2355	-599	2165	-1560	
-6235	8705	-2461	-625	2171	-1541	
-6156	8732	-2567	-653	2176	-1521	
-6076	8756	-2672	-677	2184	-1500	
-5994	8780	-2778	-703	2189	-1479	
-5912	8802	-2882	-730	2194	-1459	
-5831	8823	-2986	-755	2199	-1439	
-5746	8843	-3090	-781	2204	-1418	
-5661	8860	-3193	-806	2209	-1396	
-5575	8878	-3295	-831	2213	-1374	
-5488	8893	-3398	-857	2216	-1353	
-5402	8907	-3499	-884	2218	-1331	
-5313	8920	-3600	-907	2223	-1308	
-5225	8931	-3701	-931	2226	-1286	
-5137	8941	-3801	-958	2228	-1265	
-5045	8950	-3901	-983	2229	-1242	
-4954	8958	-4000	-1006	2231	-1218	
-4863	8964	-4099	-1029	2233	-1195	
-4771	8967	-4195	-1053	2234	-1172	
-4677	8971	-4293	-1078	2234	-1150	
-4583	8974	-4389	-1102	2234	-1125	
-4489	8974	-4485	-1126	2234	-1101	
-4393	8973	-4580	-1149	2235	-1078	
-4295	8971	-4675	-1172	2233	-1053	
-4199	8968	-4768	-1196	2232	-1030	
-4101	8963	-4860	-1218	2231	-1005	
-4002	8957	-4953	-1240	2229	-980	
-3905	8950	-5045	-1264	2226	-957	
-3804	8940	-5136	-1287	2223	-932	
-3705	8931	-5226	-1308	2221	-906	
-3604	8920	-5315	-1330	2218	-881	
-3503	8907	-5404	-1353	2216	-856	
-3402	8894	-5492	-1374	2212	-830	
-3299	8878	-5578	-1394	2208	-804	
-3198	8860	-5664	-1416	2203	-779	
-3095	8843	-5748	-1438	2199	-753	
-2992	8824	-5832	-1458	2194	-727	
-2888	8802	-5916	-1479	2188	-702	
-2783	8780	-5998	-1499	2183	-676	
-2679	8757	-6079	-1518	2177	-650	
-2574	8732	-6161	-1539	2170	-624	
-2468	8706	-6239	-1559	2163	-597	
-2361	8678	-6319	-1578	2155	-571	
-2255	8649	-6397	-1596	2149	-544	
-2150	8620	-6473	-1616	2141	-517	
-2044	8588	-6549	-1634	2134	-491	
-1936	8556	-6624	-1652	2125	-464	
-1830	8522	-6698	-1671	2115	-439	
-1722	8486	-6771	-1688	2107	-410	
-1613	8450	-6843	-1708	2097	-384	
