-3224	-5629	8872	2200	-1400	-812	
-3324	-5543	8888	2203	-1380	-839	
-3426	-5456	8902	2207	-1358	-864	
-3527	-5368	8916	2211	-1335	-889	
-3626	-5279	8929	2213	-1313	-913	
-3728	-5191	8940	2214	-1292	-940	
-3828	-5101	8950	2218	-1269	-965	
-3927	-5011	8959	2220	-1246	-990	
-4024	-4920	8966	2221	-1223	-1015	
-4123	-4828	8971	2223	-1200	-1038	
-4222	-4734	8975	2224	-1177	-1062	
-4316	-4641	8979	2224	-1153	-1086	
-4413	-4545	8980	2225	-1130	-1110	
-4508	-4451	8981	2224	-1106	-1134	
-4603	-4356	8980	2224	-1081	-1157	
-4699	-4259	8978	2223	-1056	-1181	
-4790	-4162	8974	2221	-1033	-1205	
-4882	-4064	8969	2221	-1008	-1228	
-4975	-3966	8963	2219	-983	-1249	
-5065	-3866	8955	2216	-959	-1272	
-5156	-3767	8945	2214	-933	-1295	
-5246	-3667	8935	2211	-909	-1317	
-5335	-3565	8924	2208	-884	-1340	
-5422	-3465	8910	2205	-859	-1360	
-5508	-3364	8896	2202	-833	-1383	
-5595	-3261	8880	2197	-808	-1405	
-5681	-3159	8863	2193	-782	-1424	
-5765	-3055	8845	2189	-755	-1446	
-5848	-2951	8825	2183	-729	-1467	
-5930	-2847	8803	2180	-703	-1487	
-6013	-2743	8781	2172	-678	-1507	
-6095	-2638	8758	2165	-653	-1529	
-6174	-2533	8732	2159	-625	-1549	
-6254	-2427	8706	2153	-599	-1567	
-6333	-2320	8678	2146	-573	-1587	
-6410	-2213	8648	2138	-545	-1607	
-6486	-2108	8618	2130	-519	-1625	
-6562	-2000	8587	2123	-493	-1644	
-6636	-1893	8554	2113	-466	-1663	
-6710	-1786	8519	2103	-440	-1681	
-6783	-1677	8484	2096	-412	-1698	
-6852	-1568	8447	2088	-385	-1716	
-6923	-1461	8409	2075	-360	-1734	
-6992	-1353	8369	2067	-332	-1750	
-7061	-1243	8330	2058	-304	-1766	
-7129	-1135	8289	2046	-278	-1784	
-7193	-1025	8245	2036	-251	-1800	
-7258	-916	8200	2025	-224	-1816	
-7321	-807	8154	2013	-197	-1833	
-7384	-697	8107	2001	-170	-1848	
-7448	-587	8059	1989	-143	-1863	
-7506	-477	8011	1976	-117	-1878	
-7567	-367	7960	1965	-91	-1892	
-7626	-257	7908	1953	-65	-1907	
-7683	-148	7856	1938	-39	-1921	
-7740	-38	7802	1927	-14	-1934	
-7794	73	7746	1911	11	-1948	
-7847	183	7690	1896	36	-1962	
-7900	293	7633	1884	65	-1975	
-7951	403	7574	1868	97	-1987	
-8000	512	7514	1853	132	-2000	
-8049	622	7453	1838	168	-2011	
-8096	732	7392	1822	197	-2023	
-8143	841	7329	1808	223	-2034	
-8188	951	7264	1790	245	-2045	
-8231	1061	7199	1773	268	-2058	
-8275	1169	7133	1759	299	-2068	
-8318	1278	7064	1741	327	-2078	
-8357	1388	6996	1723	354	-2087	
-8398	1496	6927	1706	381	-2097	
-8435	1603	6856	1688	408	-2106	
-8470	1712	6785	1670	435	-2115	
-8506	1820	6711	1652	462	-2125	
-8541	1927	6638	1635	490	-2132	
-8575	2035	6563	1615	516	-2140	
-8606	2141	6487	1595	542	-2147	
-8636	2248	6410	1577	569	-2155	
-8664	2354	6333	1558	595	-2162	
-8690	2460	6254	1538	622	-2169	
-8717	2566	6174	1518	648	-2177	
-8742	2671	6094	1498	675	-2182	
-8765	2776	6014	1477	701	-2186	
-8788	2881	5931	1457	727	-2192	
-8809	2985	5848	1436	753	-2198	
-8828	3088	5764	1415	779	-2203	
-8845	3191	5678	1394	804	-2208	
-8863	3294	5593	1373	830	-2211	
-8880	3396	5505	1351	856	-2214	
-8893	3497	5418	1330	881	-2218	
-8905	3598	5331	1307	906	-2221	
-8917	3698	5241	1285	931	-2223	
-8928	3799	5151	1264	956	-2226	
-8937	3899	5061	1240	981	-2228	
-8944	3997	4969	1218	1006	-2229	
-8950	4095	4878	1195	1029	-2230	
-8956	4193	4784	1172	1053	-2233	
-8959	4290	4690	1149	1078	-2233	
-8961	4387	4597	1125	1102	-2234	
-8962	4483	4501	1102	1126	-2233	
-8961	4578	4406	1078	1150	-2232	
-8959	4672	4310	1053	1174	-2232	
-8956	4766	4212	1030	1197	-2230	
-8951	4857	4114	1005	1220	-2228	
-8946	4950	4017	981	1242	-2227	
-8939	5042	3919	957	1265	-2227	
-8929	5132	3818	932	1289	-2223	
-8919	5222	3718	906	1310	-2221	
-8908	5311	3619	882	1332	-2219	
-8895	5400	3516	858	1355	-2213	
-8881	5487	3415	832	1376	-2210	
-8866	5574	3313	807	1398	-2206	
-8850	5660	3209	782	1419	-2201	
-8832	5745	3108	756	1440	-2198	
-8813	5829	3004	730	1461	-2193	
-8792	5913	2900	705	1482	-2187	
-8770	5994	2796	679	1502	-2181	
-8745	6075	2690	653	1523	-2174	
-8722	6157	2585	626	1543	-2169	
-8696	6236	2479	601	1562	-2162	
-8667	6315	2374	576	1583	-2154	
-8639	6393	2267	548	1601	-2147	
