-5243	-3668	8935	2211	-910	-1317	
-5332	-3568	8924	2210	-884	-1340	
-5421	-3467	8911	2204	-860	-1362	
-5507	-3365	8896	2200	-835	-1382	
-5593	-3263	8880	2197	-809	-1403	
-5679	-3160	8863	2193	-783	-1425	
-5763	-3057	8845	2188	-757	-1446	
-5846	-2953	8825	2183	-731	-1466	
-5930	-2848	8804	2178	-705	-1488	
-6013	-2745	8781	2172	-679	-1508	
-6093	-2640	8757	2165	-652	-1528	
-6173	-2534	8733	2158	-626	-1547	
-6253	-2429	8706	2153	-599	-1566	
-6331	-2323	8679	2145	-573	-1588	
-6407	-2216	8649	2139	-547	-1606	
-6483	-2109	8618	2131	-519	-1624	
-6560	-2002	8588	2121	-494	-1644	
-6635	-1895	8555	2114	-468	-1662	
-6707	-1788	8520	2106	-440	-1680	
-6779	-1680	8485	2097	-413	-1698	
-6851	-1572	8448	2088	-387	-1716	
-6922	-1462	8410	2078	-359	-1734	
-6991	-1355	8371	2068	-331	-1750	
-7059	-1245	8331	2058	-306	-1767	
-7127	-1136	8288	2047	-279	-1783	
-7192	-1028	8245	2038	-250	-1798	
-7257	-917	8201	2025	-224	-1816	
-7322	-809	8155	2015	-197	-1832	
-7384	-699	8109	2003	-170	-1846	
-7445	-588	8061	1989	-145	-1862	
-7506	-479	8012	1977	-118	-1877	
-7565	-369	7961	1965	-92	-1892	
-7623	-260	7909	1953	-66	-1906	
-7681	-150	7857	1939	-41	-1921	
-7739	-39	7803	1926	-16	-1935	
-7792	71	7748	1911	10	-1948	
-7845	180	7692	1897	35	-1963	
-7899	290	7634	1884	65	-1974	
-7951	400	7574	1869	98	-1986	
-7999	510	7515	1853	133	-2000	
-8048	620	7455	1839	168	-2010	
-8097	731	7393	1823	199	-2022	
-8144	840	7331	1806	223	-2036	
-8189	949	7265	1791	245	-2046	
-8232	1059	7199	1774	269	-2057	
-8276	1168	7133	1757	296	-2067	
-8318	1277	7067	1741	325	-2077	
-8357	1385	6998	1723	353	-2088	
-8396	1494	6927	1707	382	-2096	
-8435	1602	6857	1689	408	-2107	
-8471	1710	6786	1671	433	-2115	
-8507	1819	6713	1652	462	-2123	
-8539	1926	6639	1634	489	-2132	
-8571	2033	6565	1617	516	-2139	
-8604	2139	6489	1596	542	-2147	
-8635	2246	6412	1578	569	-2155	
-8664	2353	6336	1559	596	-2162	
-8689	2459	6256	1538	621	-2168	
-8715	2565	6176	1519	647	-2174	
-8742	2670	6096	1499	675	-2181	
-8764	2775	6015	1478	700	-2186	
-8787	2879	5933	1458	726	-2192	
-8807	2983	5849	1438	752	-2197	
-8829	3087	5767	1415	778	-2202	
-8846	3191	5680	1394	805	-2206	
-8862	3293	5594	1374	831	-2210	
-8880	3395	5509	1352	856	-2214	
-8893	3497	5421	1331	881	-2216	
-8906	3597	5334	1309	906	-2219	
-8917	3699	5243	1287	930	-2223	
-8926	3797	5153	1264	956	-2225	
-8936	3897	5063	1241	980	-2227	
-8945	3997	4972	1220	1005	-2229	
-8951	4095	4879	1196	1030	-2230	
-8955	4192	4786	1174	1054	-2230	
-8959	4289	4693	1151	1079	-2231	
-8960	4386	4598	1124	1101	-2233	
-8961	4481	4503	1102	1126	-2232	
-8961	4575	4407	1079	1151	-2232	
-8959	4670	4311	1052	1171	-2234	
-8957	4764	4215	1030	1196	-2231	
-8952	4856	4117	1006	1220	-2229	
-8946	4948	4019	981	1241	-2228	
-8938	5040	3919	957	1265	-2226	
-8929	5131	3820	933	1288	-2224	
-8921	5221	3721	907	1310	-2220	
