-2558	-6156	8734	2166	-1535	-648	
-2665	-6076	8759	2173	-1513	-674	
-2768	-5995	8782	2181	-1492	-699	
-2873	-5913	8805	2184	-1474	-727	
-2977	-5830	8826	2189	-1453	-753	
-3080	-5746	8846	2194	-1431	-777	
-3183	-5661	8865	2198	-1409	-803	
-3286	-5576	8881	2202	-1387	-830	
-3387	-5490	8897	2205	-1367	-855	
-3490	-5402	8912	2210	-1345	-880	
-3591	-5314	8924	2212	-1322	-905	
-3691	-5225	8937	2214	-1299	-930	
-3791	-5135	8947	2218	-1278	-954	
-3890	-5046	8955	2220	-1255	-979	
-3989	-4954	8963	2222	-1231	-1004	
-4087	-4862	8968	2222	-1209	-1029	
-4184	-4769	8974	2223	-1185	-1054	
-4280	-4677	8978	2224	-1162	-1077	
-4377	-4583	8979	2225	-1138	-1099	
-4474	-4487	8981	2225	-1115	-1124	
-4568	-4392	8981	2224	-1091	-1147	
-4662	-4295	8979	2223	-1066	-1170	
-4755	-4199	8975	2222	-1042	-1195	
-4847	-4101	8970	2221	-1016	-1217	
-4939	-4003	8965	2219	-994	-1241	
-5031	-3904	8957	2217	-970	-1263	
-5122	-3804	8949	2217	-942	-1284	
-5213	-3705	8940	2213	-918	-1310	
-5300	-3605	8927	2210	-893	-1331	
-5388	-3504	8915	2208	-867	-1351	
-5475	-3401	8902	2202	-843	-1374	
-5562	-3299	8885	2198	-818	-1395	
-5649	-3197	8869	2195	-792	-1417	
-5733	-3094	8851	2190	-766	-1437	
-5816	-2991	8832	2185	-740	-1457	
-5899	-2887	8811	2179	-713	-1480	
-5982	-2782	8790	2174	-687	-1500	
-6063	-2678	8766	2169	-661	-1518	
-6144	-2572	8741	2161	-636	-1541	
-6222	-2467	8715	2154	-609	-1561	
-6302	-2361	8687	2149	-581	-1579	
-6381	-2255	8660	2141	-556	-1599	
-6457	-2148	8630	2132	-530	-1618	
-6534	-2041	8598	2125	-503	-1637	
-6607	-1934	8566	2117	-476	-1655	
-6681	-1826	8532	2107	-450	-1673	
-6754	-1718	8497	2101	-422	-1691	
-6825	-1610	8461	2091	-395	-1708	
-6897	-1502	8423	2082	-369	-1726	
-6967	-1394	8385	2071	-341	-1744	
-7035	-1285	8344	2061	-316	-1761	
-7101	-1176	8303	2052	-288	-1777	
-7168	-1068	8261	2039	-262	-1794	
-7235	-958	8216	2030	-233	-1810	
-7298	-848	8171	2017	-207	-1826	
-7362	-739	8125	2006	-182	-1842	
-7424	-629	8078	1995	-154	-1856	
-7485	-520	8030	1981	-128	-1871	
-7545	-409	7979	1969	-101	-1887	
-7604	-299	7928	1957	-76	-1901	
-7661	-189	7876	1943	-50	-1915	
-7717	-80	7822	1930	-25	-1929	
-7772	30	7767	1916	0	-1944	
-7827	141	7712	1901	26	-1957	
-7880	250	7655	1888	55	-1970	
-7931	360	7597	1874	84	-1982	
-7983	471	7538	1859	119	-1995	
-8031	580	7477	1845	155	-2006	
-8078	691	7415	1829	188	-2018	
-8126	801	7352	1812	214	-2031	
-8172	910	7288	1796	236	-2042	
-8216	1020	7223	1780	260	-2052	
-8259	1128	7157	1763	287	-2062	
-8301	1236	7090	1745	314	-2072	
-8342	1346	7022	1729	343	-2083	
-8381	1454	6953	1713	371	-2092	
-8419	1563	6883	1694	398	-2102	
-8457	1671	6811	1677	425	-2111	
-8494	1779	6739	1660	453	-2120	
-8527	1887	6667	1641	479	-2129	
-8560	1994	6591	1623	506	-2136	
-8593	2102	6517	1603	533	-2144	
-8623	2208	6440	1585	559	-2151	
-8651	2314	6363	1566	586	-2160	
-8679	2421	6285	1545	612	-2165	
-8707	2527	6206	1526	639	-2171	
-8732	2632	6126	1506	665	-2178	
-8756	2737	6044	1486	691	-2182	
-8779	2842	5962	1465	718	-2188	
-8800	2946	5880	1445	742	-2194	
